project	project_id	filename	url	md5	size_mb
Salmonella_enterica	z7q5y	Salmonella_enterica_global_ordered_0072.agc	https://osf.io/download/6a35efe7cf673e3d371cd283/	1650ac20b0da23db315b0c31dc04b8a1	34.606133
Acinetobacter_baylyi	z7q5y	Acinetobacter_baylyi_global_ordered_0001.agc	https://osf.io/download/6a35c9b1cccfb0aaef166825/	7be632ec46828a45a4d6d01d77b8099d	3.890981
Mycobacterium_tuberculosis	z7q5y	Mycobacterium_tuberculosis_global_ordered_0011.agc	https://osf.io/download/6a35e88cd6d1ab175c166785/	e0a39e04efa238a9fb77c7fe084aeeec	39.963687
Klebsiella_michiganensis	z7q5y	Klebsiella_michiganensis_global_ordered_0001.agc	https://osf.io/download/6a35e2720e788a296f2bf307/	f3be7573b45d039b0de4fa2210306f32	111.411261
Streptococcus_suis_AA	z7q5y	Streptococcus_suis_AA_global_ordered_0001.agc	https://osf.io/download/6a35f62e32d278c44d16676f/	6230f10a94cb227bb78c319eb73bdd7b	10.448807
Salmonella_enterica	z7q5y	Salmonella_enterica_global_ordered_0009.agc	https://osf.io/download/6a35edcbf71d3e2de12bf297/	55ddbdf1d7082412cba9aac5425cd8a8	30.111978
Pasteurella_multocida	z7q5y	Pasteurella_multocida_global_ordered_0001.agc	https://osf.io/download/6a35eb4b6f156d70891cd2c9/	d0bc4fe31db415a802097b102cec22d1	19.324424
Serratia_bockelmannii	z7q5y	Serratia_bockelmannii_global_ordered_0001.agc	https://osf.io/download/6a35f24a2d0471590a2bf2a9/	540a6f738052860ccc77af0fdb59684b	19.649274
subthreshold_remainder	z7q5y	subthreshold_remainder_global_ordered_0091.agc	https://osf.io/download/6a35f7fa93303b1ff4b0e80c/	eee2fcce08c28ce4ef6f0199ea69a04f	114.899074
Pseudomonas_aeruginosa	z7q5y	Pseudomonas_aeruginosa_global_ordered_0003.agc	https://osf.io/download/6a35ebf06f156d70891cd309/	0e8cce5ce4b2887695906c11c0d0ba87	101.835841
Streptococcus_pneumoniae	z7q5y	Streptococcus_pneumoniae_global_ordered_0025.agc	https://osf.io/download/6a35f5a7a0fbd71552166788/	8583bf0dde6c32e7d60125d01e714401	26.705118
Mycobacterium_tuberculosis	z7q5y	Mycobacterium_tuberculosis_global_ordered_0006.agc	https://osf.io/download/6a35e830812859e5772bf2a0/	1f8afb1422b35d982f5b0e361fa08101	41.459015
Salmonella_enterica	z7q5y	Salmonella_enterica_global_ordered_0068.agc	https://osf.io/download/6a35efcacf673e3d371cd26f/	cb5de060bb1f3447e835cfecd4fd6e1a	22.196759
Pseudomonas_E_asiatica	z7q5y	Pseudomonas_E_asiatica_global_ordered_0001.agc	https://osf.io/download/6a35ec84efdd8b28ac2bf27d/	98a7b5f03d78150447eaf73fb882f8a3	25.768723
Oenococcus_oeni	z7q5y	Oenococcus_oeni_global_ordered_0001.agc	https://osf.io/download/6a35eb256f156d70891cd2b8/	90202e937b10144ea0e19a1e18f7773b	2.206402
Streptococcus_agalactiae	z7q5y	Streptococcus_agalactiae_global_ordered_0002.agc	https://osf.io/download/6a35f3f195c715f0241cd2ac/	000b564b1382a5724826e51ef0ca2d21	25.815619
Cronobacter_sakazakii	z7q5y	Cronobacter_sakazakii_global_ordered_0001.agc	https://osf.io/download/6a35d45458ef2ca38e2bf29b/	82bb109bfc26570b1f9dc3810227bd98	42.238402
subthreshold_remainder	z7q5y	subthreshold_remainder_global_ordered_0088.agc	https://osf.io/download/6a35f7dd32d278c44d1667b2/	e4828aee6ccf290d362a1c4ce8e437c0	122.333418
Escherichia_coli	z7q5y	Escherichia_coli_global_ordered_0054.agc	https://osf.io/download/6a35de9b5fea10e3331667ca/	017a7810fdace6cc17d7635611903cdc	113.525385
Pseudomonas_aeruginosa	z7q5y	Pseudomonas_aeruginosa_global_ordered_0003.agc	https://osf.io/download/6a35ebf06f156d70891cd309/	0e8cce5ce4b2887695906c11c0d0ba87	101.835841
Escherichia_coli	z7q5y	Escherichia_coli_global_ordered_0024.agc	https://osf.io/download/6a35d9a6dff0402a851cd2b1/	92cdc9771020e4f57ff10c932d1db252	121.883645
Mycobacterium_kansasii	z7q5y	Mycobacterium_kansasii_global_ordered_0001.agc	https://osf.io/download/6a35e7929bacf216602bf28a/	2fc6799e94e2687690ccc0f17c4b68e7	21.699136
subthreshold_remainder	z7q5y	subthreshold_remainder_global_ordered_0089.agc	https://osf.io/download/6a35f7e8a092595bec1cd26d/	e4e50b2f84cd162d9587cfeb105e9755	187.828454
Salmonella_enterica	z7q5y	Salmonella_enterica_global_ordered_0007.agc	https://osf.io/download/6a35edb5135ae9f26d2bf297/	f00589213419258fb4bd94680d7dc4bb	28.332574
Neisseria_lactamica	z7q5y	Neisseria_lactamica_global_ordered_0001.agc	https://osf.io/download/6a35eab7343d8094f716680f/	06e3359579ba140f0a9800c07a770091	25.475988
Bacteroides_ovatus	z7q5y	Bacteroides_ovatus_global_ordered_0001.agc	https://osf.io/download/6a35cd7a130bfaad332bf26f/	883c95ba3aec1b62bcc386fca7f29907	52.323723
Bacteroides_xylanisolvens	z7q5y	Bacteroides_xylanisolvens_global_ordered_0001.agc	https://osf.io/download/6a35cdcce1cf7dffd61cd316/	a0aa668da8fea2044a11d41cd9c0a733	58.406176
Salmonella_enterica	z7q5y	Salmonella_enterica_global_ordered_0125.agc	https://osf.io/download/6a35f1b4cf673e3d371cd2e0/	f072edb343b682f015f9505ac95f8f32	26.874914
Enterobacter_hormaechei_A	z7q5y	Enterobacter_hormaechei_A_global_ordered_0001.agc	https://osf.io/download/6a35d518304299ba19166792/	4a1397a4d0785042a73dc667f82efc3f	120.533712
Pseudomonas_aeruginosa	z7q5y	Pseudomonas_aeruginosa_global_ordered_0003.agc	https://osf.io/download/6a35ebf06f156d70891cd309/	0e8cce5ce4b2887695906c11c0d0ba87	101.835841
Neisseria_meningitidis	z7q5y	Neisseria_meningitidis_global_ordered_0007.agc	https://osf.io/download/6a35eb076f156d70891cd2ad/	0ab81007cb211755c1434cf06f2bcca0	40.898195
subthreshold_remainder	z7q5y	subthreshold_remainder_global_ordered_0053.agc	https://osf.io/download/6a35f6ffdcca8c1901b0e89a/	800eaefafc74bf39344ee334ea6ba3ef	97.682214
Salmonella_enterica	z7q5y	Salmonella_enterica_global_ordered_0075.agc	https://osf.io/download/6a35efff6f67ccd2f71cd274/	453f3aa75c16153f8805f10debce5ffc	46.753026
Streptococcus_pneumoniae	z7q5y	Streptococcus_pneumoniae_global_ordered_0010.agc	https://osf.io/download/6a35f4fba9f6cc6cb0166786/	9b868c4995fc4324522336657d7a576a	32.587084
Salmonella_enterica	z7q5y	Salmonella_enterica_global_ordered_0026.agc	https://osf.io/download/6a35ee75135ae9f26d2bf2ba/	0d4c3563f018f5d613bca0e7cb7fe6d2	26.472468
Salmonella_enterica	z7q5y	Salmonella_enterica_global_ordered_0105.agc	https://osf.io/download/6a35f10a6f67ccd2f71cd2a3/	a28d383928394ee77ce503e2989796c6	37.845343
Salmonella_diarizonae	z7q5y	Salmonella_diarizonae_global_ordered_0001.agc	https://osf.io/download/6a35ed557825db54b5166752/	b620dbbbbd2c65d3c4e7c47b03bd6ee0	115.650999
Aliarcobacter_butzleri	z7q5y	Aliarcobacter_butzleri_global_ordered_0001.agc	https://osf.io/download/6a35cbc3e1cf7dffd61cd2d7/	a4be76aa8cd7241e8fb6fb3d9de01734	16.646490
Lactobacillus_gasseri	z7q5y	Lactobacillus_gasseri_global_ordered_0001.agc	https://osf.io/download/6a35e4b4d96f26f27d2bf2e0/	76674bbf6b170bc11c3be50ec6563800	4.313649
Pseudomonas_aeruginosa	z7q5y	Pseudomonas_aeruginosa_global_ordered_0003.agc	https://osf.io/download/6a35ebf06f156d70891cd309/	0e8cce5ce4b2887695906c11c0d0ba87	101.835841
Salmonella_enterica	z7q5y	Salmonella_enterica_global_ordered_0094.agc	https://osf.io/download/6a35f0b2e222b430f316674f/	314c289028f6f1adf004967981d8c5b1	62.236823
Streptococcus_agalactiae	z7q5y	Streptococcus_agalactiae_global_ordered_0008.agc	https://osf.io/download/6a35f41b1272fc28f51667d1/	1540fd057901f2059d70a73ad35bc6e3	18.774860
Enterococcus_D_gallinarum	z7q5y	Enterococcus_D_gallinarum_global_ordered_0001.agc	https://osf.io/download/6a35d6cd3596d82e481cd2a1/	0fd692c510cf0e23be7543efbc270c1c	11.407680
Staphylococcus_aureus	z7q5y	Staphylococcus_aureus_global_ordered_0020.agc	https://osf.io/download/6a35f31a2d0471590a2bf3c5/	45dae5143833e5ea125b1a603277d430	29.934589
Escherichia_coli	z7q5y	Escherichia_coli_global_ordered_0021.agc	https://osf.io/download/6a35d8ebc650cd9d931cd28c/	268cb07c671037bd6d9e4b061fb0facd	106.822983
